,order,cy_whose_pic_move,cy_np_move_no_pp,cy_pic_of_who_move,cy_partial_move,cy_np_extraction,AlternativeMergeOrder,note
1,DNAn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2,DNnA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
3,DnNA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,
4,nDNA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
5,NDAn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
6,NDnA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
7,NnDA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
8,nNDA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
9,ADNn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
10,ADnN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
11,AnDN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
12,nADN,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
13,DANn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
14,DAnN,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
15,DnAN,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
16,nDAN,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
17,NADn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
18,NAnD,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
19,NnAD,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
20,nNAD,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
21,ANDn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
22,ANnD,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
23,AnND,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
24,nAND,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
